,GENEABREV,ENTRY,ENTRY NAME,PROTEIN,GENE,ORGANISM,STATUS,GO - BIOLOGICAL PROCESS,MOLECULAR FUNCION,BIOLOGICAL PROCESS,LIGARD
2000,NR2F6,Q9TTR7,COT2_BOVIN,COUP transcription factor 2,NR2F2,Bos taurus (Bovine),Reviewed,"anatomical structure development. anterior/posterior pattern specification. blood vessel morphogenesis. cell differentiation. female gonad development. fertilization. forebrain development. limb development. lymphatic endothelial cell fate commitment. maternal placenta development. negative regulation of cyclin-dependent protein serine/threonine kinase activity. negative regulation of endothelial cell migration. negative regulation of endothelial cell proliferation. negative regulation of transcription by RNA polymerase II. neuron migration. placenta blood vessel development. positive regulation of transcription, DNA-templated. positive regulation of transcription by RNA polymerase II. radial pattern formation. regulation of transcription by RNA polymerase II. skeletal muscle tissue development. trophoblast giant cell differentiation",Activator. DNA-binding. Receptor,Transcription. Transcription regulation,Metal-binding. Zinc
2001,OCEL1,A0A4W2EY62,A0A4W2EY62_BOBOX,Occludin_ELL domain-containing protein,OCEL1,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,na,na,na
2002,USE1,Q70VZ8,DGAT2_BOVIN,Diacylglycerol O-acyltransferase 2,DGAT2,Bos taurus (Bovine),Reviewed,cellular response to oleic acid. cellular triglyceride homeostasis. cholesterol homeostasis. diacylglycerol biosynthetic process. diacylglycerol metabolic process. fat pad development. fatty acid homeostasis. glycerol metabolic process. lipid metabolic process. lipid storage. long-chain fatty-acyl-CoA metabolic process. low-density lipoprotein particle clearance. monoacylglycerol biosynthetic process. regulation of plasma lipoprotein particle levels. triglyceride biosynthetic process,Acyltransferase. Transferase,Glycerol metabolism. Lipid biosynthesis. Lipid metabolism,na
2003,MYO9B,O46382,BIG1_BOVIN,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,ARFGEF1,Bos taurus (Bovine),Reviewed,endomembrane system organization. Golgi organization. negative regulation of actin filament polymerization. negative regulation of GTPase activity. positive regulation of protein glycosylation in Golgi. positive regulation of wound healing. protein transport. regulation of ARF protein signal transduction. regulation of establishment of cell polarity,Guanine-nucleotide releasing factor,Protein transport. Transport,na
2004,HAUS8,Q0VCD2,TBG1_BOVIN,Tubulin gamma-1 chain,TUBG1,Bos taurus (Bovine),Reviewed,cytoplasmic microtubule organization. meiotic spindle organization. microtubule cytoskeleton organization. microtubule nucleation. mitotic cell cycle. mitotic sister chromatid segregation. mitotic spindle organization,na,na,GTP-binding. Nucleotide-binding
2005,CPAMD8,A0A4W2F0F6,A0A4W2F0F6_BOBOX,Kazal-like domain-containing protein,CPAMD8,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,na,Protease inhibitor. Serine protease inhibitor,na,na
2006,F2RL3,F1MCC4,F1MCC4_BOVIN,F2R like thrombin or trypsin receptor 3,F2RL3,Bos taurus (Bovine),Unreviewed,blood coagulation. positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway. positive regulation of release of sequestered calcium ion into cytosol. positive regulation of Rho protein signal transduction,G-protein coupled receptor. Receptor. Transducer,na,na
2007,SIN3B,E1BGW5,E1BGW5_BOVIN,SIN3 transcription regulator family member B,SIN3B,Bos taurus (Bovine),Unreviewed,histone deacetylation. negative regulation of transcription by RNA polymerase II,na,na,na
2008,NWD1,Q76LV1,HS90B_BOVIN,Heat shock protein HSP 90-beta,HSP90AB1,Bos taurus (Bovine),Reviewed,axon extension. cellular response to heat. cellular response to interleukin-4. central nervous system neuron axonogenesis. establishment of cell polarity. negative regulation of apoptotic process. negative regulation of cell cycle arrest. negative regulation of proteasomal ubiquitin-dependent protein catabolic process. negative regulation of transforming growth factor beta activation. placenta development. positive regulation of cyclin-dependent protein kinase activity. positive regulation of peptidyl-serine phosphorylation. positive regulation of protein kinase B signaling. positive regulation of transforming growth factor beta receptor signaling pathway. protein folding. protein stabilization. regulation of cellular protein localization,Chaperone,Stress response,ATP-binding. Nucleotide-binding
2009,TMEM38A,A4FV75,TM38A_BOVIN,Trimeric intracellular cation channel type A,TMEM38A,Bos taurus (Bovine),Reviewed,cellular response to caffeine. endoplasmic reticulum organization. regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion. release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,Ion channel. Potassium channel,Ion transport. Potassium transport. Transport,Potassium
2010,SMIM7,Q3SZ97,SMIM7_BOVIN,Small integral membrane protein 7,SMIM7,Bos taurus (Bovine),Reviewed,na,na,na,na
2011,MED26,O02755,CEBPB_BOVIN,CCAAT/enhancer-binding protein beta,CEBPB,Bos taurus (Bovine),Reviewed,"cell differentiation. defense response to bacterium. hepatocyte proliferation. liver regeneration. negative regulation of T cell proliferation. negative regulation of transcription by RNA polymerase II. ovarian follicle development. positive regulation of fat cell differentiation. positive regulation of interleukin-4 production. regulation of cell differentiation. regulation of odontoblast differentiation. regulation of osteoclast differentiation. regulation of transcription, DNA-templated. regulation of transcription by RNA polymerase II. response to endoplasmic reticulum stress",Activator. DNA-binding,Differentiation. Transcription. Transcription regulation,na
2012,SLC35E1,F1ML50,F1ML50_BOVIN,Solute carrier family 35 member E1,SLC35E1,Bos taurus (Bovine),Unreviewed,na,na,na,na
2013,CHERP,A8E648,A8E648_BOVIN,CHERP protein,CHERP,Bos taurus (Bovine),Unreviewed,cellular calcium ion homeostasis. RNA processing,na,na,na
2014,C7H19orf44,E1BPD6,E1BPD6_BOVIN,Chromosome 7 C19orf44 homolog,C7H19orf44,Bos taurus (Bovine),Unreviewed,na,na,na,na
2015,CALR3,Q2TBR8,CALR3_BOVIN,Calreticulin-3,CALR3,Bos taurus (Bovine),Reviewed,cell differentiation. endoplasmic reticulum unfolded protein response. protein folding. spermatogenesis,Chaperone,Differentiation. Spermatogenesis,Lectin. Metal-binding. Zinc
2016,EPS15L1,A4FV37,CAVN3_BOVIN,Caveolae-associated protein 3,CAVIN3,Bos taurus (Bovine),Reviewed,circadian regulation of gene expression. cortical actin cytoskeleton organization. negative regulation of fermentation. negative regulation of protein kinase B signaling. positive regulation of ERK1 and ERK2 cascade,na,Biological rhythms,na
2017,PTPRS,P21782,PTN_BOVIN,Pleiotrophin,PTN,Bos taurus (Bovine),Reviewed,decidualization. dendrite arborization. dendrite regeneration. estrous cycle. integrin-mediated signaling pathway. learning. leukocyte chemotaxis involved in inflammatory response. memory. negative regulation of long-term synaptic potentiation. negative regulation of neuroblast proliferation. oogenesis. ossification involved in bone remodeling. positive regulation of axon regeneration. positive regulation of bone mineralization. positive regulation of cell differentiation. positive regulation of cell division. positive regulation of cell population proliferation. positive regulation of dendrite development. positive regulation of hepatocyte proliferation. positive regulation of leukocyte chemotaxis. positive regulation of neuron projection development. positive regulation of oligodendrocyte differentiation. positive regulation of ossification. positive regulation of stem cell differentiation. receptor clustering. regulation of endothelial cell migration. regulation of hemopoiesis. regulation of myelination. regulation of stem cell population maintenance. regulation of synaptic plasticity. response to auditory stimulus. tissue regeneration,Growth factor. Heparin-binding. Mitogen,na,na
2018,KDM4B,E1BA41,E1BA41_BOVIN,[Histone H3]-trimethyl-L-lysine(9) demethylase,KDM4B,Bos taurus (Bovine),Unreviewed,chromatin remodeling. histone H3-K36 demethylation. negative regulation of histone H3-K9 trimethylation,Chromatin regulator. Dioxygenase. Oxidoreductase,na,Metal-binding. Zinc
2019,UHRF1,A7E320,UHRF1_BOVIN,E3 ubiquitin-protein ligase UHRF1,UHRF1,Bos taurus (Bovine),Reviewed,cell cycle. DNA repair. histone monoubiquitination. histone ubiquitination. maintenance of DNA methylation. negative regulation of transcription by RNA polymerase II. protein autoubiquitination. protein ubiquitination. ubiquitin-dependent protein catabolic process,Chromatin regulator. DNA-binding. Repressor. Transferase,Cell cycle. DNA damage. DNA repair. Transcription. Transcription regulation. Ubl conjugation pathway,Metal-binding. Zinc
2020,ARRDC5,F1MY18,F1MY18_BOVIN,Arrestin domain-containing protein 5,ARRDC5,Bos taurus (Bovine),Unreviewed,protein transport,na,na,na
2021,PLIN3,P53620,COPG1_BOVIN,Coatomer subunit gamma-1,COPG1,Bos taurus (Bovine),Reviewed,"intracellular protein transport. intra-Golgi vesicle-mediated transport. retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",na,ER-Golgi transport. Protein transport. Transport,na
2022,TICAM1,Q4JF29,TCAM1_BOVIN,TIR domain-containing adapter molecule 1,TICAM1,Bos taurus (Bovine),Reviewed,apoptotic process. defense response to virus. inflammatory response. innate immune response. lipopolysaccharide-mediated signaling pathway. positive regulation of cytokine production involved in inflammatory response. positive regulation of I-kappaB kinase/NF-kappaB signaling. positive regulation of myeloid dendritic cell cytokine production. positive regulation of natural killer cell activation. positive regulation of NF-kappaB transcription factor activity. response to exogenous dsRNA. TRIF-dependent toll-like receptor signaling pathway,na,Antiviral defense. Apoptosis. Immunity. Inflammatory response. Innate immunity,na
2023,FEM1A,Q29RM5,FEM1A_BOVIN,Protein fem-1 homolog A,FEM1A,Bos taurus (Bovine),Reviewed,negative regulation of inflammatory response. protein ubiquitination. regulation of ubiquitin-protein transferase activity. ubiquitin-dependent protein catabolic process,na,Ubl conjugation pathway,na
2024,DPP9,E1BI31,E1BI31_BOVIN,Dipeptidyl peptidase 9,DPP9,Bos taurus (Bovine),Unreviewed,na,na,na,na
2025,MYDGF,P62248,MYDGF_BOVIN,Myeloid-derived growth factor,MYDGF,Bos taurus (Bovine),Reviewed,angiogenesis. apoptotic process. negative regulation of apoptotic process. positive regulation of angiogenesis. positive regulation of endothelial cell proliferation. positive regulation of MAPK cascade. positive regulation of phosphatidylinositol 3-kinase signaling. positive regulation of protein kinase B signaling. positive regulation of protein phosphorylation. positive regulation of transcription by RNA polymerase II,na,Angiogenesis. Apoptosis,na
2026,TNFAIP8L1,A5PK29,TP8L1_BOVIN,Tumor necrosis factor alpha-induced protein 8-like protein 1,TNFAIP8L1,Bos taurus (Bovine),Reviewed,negative regulation of TOR signaling. regulation of apoptotic process,na,na,na
2027,SEMA6B,E1BIT8,E1BIT8_BOVIN,Semaphorin 6B,SEMA6B,Bos taurus (Bovine),Unreviewed,axon guidance. negative chemotaxis. negative regulation of axon extension involved in axon guidance. neural crest cell migration. positive regulation of cell migration. semaphorin-plexin signaling pathway,na,na,na
2028,LRG1,F6RMV5,F6RMV5_BOVIN,Leucine rich alpha-2-glycoprotein 1,LRG1,Bos taurus (Bovine),Unreviewed,brown fat cell differentiation. positive regulation of angiogenesis. positive regulation of endothelial cell proliferation. positive regulation of transforming growth factor beta receptor signaling pathway. response to bacterium,na,na,na
2029,PLIN5,A6QLL0,PLIN5_BOVIN,Perilipin-5,PLIN5,Bos taurus (Bovine),Reviewed,lipid droplet organization. lipid storage. mitochondrion localization. negative regulation of fatty acid beta-oxidation. negative regulation of lipase activity. negative regulation of peroxisome proliferator activated receptor signaling pathway. negative regulation of reactive oxygen species metabolic process. negative regulation of triglyceride catabolic process. positive regulation of fatty acid beta-oxidation. positive regulation of lipase activity. positive regulation of lipid storage. positive regulation of sequestering of triglyceride. positive regulation of triglyceride biosynthetic process,na,na,na
2030,PLIN4,A0A3Q1MBG9,A0A3Q1MBG9_BOVIN,Perilipin 4,PLIN4,Bos taurus (Bovine),Unreviewed,na,na,na,na
2031,HDGFL2,F1MT65,F1MT65_BOVIN,PWWP domain-containing protein,HDGFL2,Bos taurus (Bovine),Unreviewed,positive regulation of cell growth. regulation of transcription by RNA polymerase II,na,na,na
2032,UBXN6,Q2KIJ6,UBXN6_BOVIN,UBX domain-containing protein 6,UBXN6,Bos taurus (Bovine),Reviewed,endosome to lysosome transport via multivesicular body sorting pathway. ERAD pathway. macroautophagy,na,Ubl conjugation pathway,na
2033,CHAF1A,A6QLA6,CAF1A_BOVIN,Chromatin assembly factor 1 subunit A,CHAF1A,Bos taurus (Bovine),Reviewed,cell cycle. chromatin assembly. DNA repair. DNA replication. nucleosome assembly,Chaperone,Cell cycle. DNA damage. DNA repair. DNA replication,na
2034,SH3GL1,Q2KJA1,SH3G1_BOVIN,Endophilin-A2,SH3GL1,Bos taurus (Bovine),Reviewed,synaptic vesicle uncoating,na,Endocytosis,Lipid-binding
2035,MPND,F1MYW5,F1MYW5_BOVIN,MPN domain containing,MPND,Bos taurus (Bovine),Unreviewed,chromatin remodeling. positive regulation of transcription by RNA polymerase II,na,na,na
2036,STAP2,A0JNF9,A0JNF9_BOVIN,Signal transducing adaptor family member 1,STAP1,Bos taurus (Bovine),Unreviewed,"cellular response to lipopolysaccharide. negative regulation of macrophage chemotaxis. negative regulation of macrophage colony-stimulating factor signaling pathway. negative regulation of microglial cell migration. negative regulation of phosphorylation. negative regulation of ruffle assembly. positive regulation of actin cytoskeleton reorganization. positive regulation of B cell receptor signaling pathway. positive regulation of gene expression. positive regulation of microglial cell activation. positive regulation of microglial cell mediated cytotoxicity. positive regulation of non-membrane spanning protein tyrosine kinase activity. positive regulation of phagocytosis, engulfment",na,na,na
2037,FSD1,Q05B84,FSD1_BOVIN,Fibronectin type III and SPRY domain-containing protein 1,FSD1,Bos taurus (Bovine),Reviewed,cell cycle. cell division,na,Cell cycle. Cell division. Mitosis,na
2038,TMIGD2,Q9MZL5,CACB2_BOVIN,Voltage-dependent L-type calcium channel subunit beta-2,CACNB2,Bos taurus (Bovine),Reviewed,chemical synaptic transmission. neuromuscular junction development. regulation of voltage-gated calcium channel activity,Calcium channel. Ion channel. Voltage-gated channel,Calcium transport. Ion transport. Transport,Calcium
2039,SHD,A0A4W2HT44,A0A4W2HT44_BOBOX,Uncharacterized protein,GIT1,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,brain development. cell redox homeostasis. cellular response to lipopolysaccharide. ephrin receptor signaling pathway. intramembranous ossification. locomotory behavior. motor learning. negative regulation of glycolytic process. negative regulation of inflammatory response to wounding. negative regulation of interleukin-1 beta production. neuron development. positive regulation of microtubule nucleation. presynaptic modulation of chemical synaptic transmission. regulation of cytokinesis. regulation of synaptic vesicle exocytosis,na,na,Metal-binding. Zinc
2040,YJU2,Q17QL3,Q17QL3_BOVIN,Splicing factor YJU2,YJU2,Bos taurus (Bovine),Unreviewed,generation of catalytic spliceosome for first transesterification step. RNA splicing,na,mRNA processing. mRNA splicing,Metal-binding. Zinc
2041,EBI3,P54349,IL12A_BOVIN,Interleukin-12 subunit alpha,IL12A,Bos taurus (Bovine),Reviewed,interferon-gamma production. natural killer cell activation. positive regulation of activated T cell proliferation. positive regulation of interferon-gamma production. T-helper cell differentiation,Cytokine. Growth factor,na,na
2042,SIRT6,A6QNQ6,CTIP_BOVIN,DNA endonuclease RBBP8,RBBP8,Bos taurus (Bovine),Reviewed,cell division. DNA double-strand break processing involved in repair via single-strand annealing. double-strand break repair via homologous recombination. meiotic cell cycle,DNA-binding. Endonuclease. Hydrolase. Nuclease,Cell cycle. Cell division. DNA damage. DNA repair. Meiosis. Mitosis,na
2043,CREB3L3,Q3SYZ3,CR3L3_BOVIN,Cyclic AMP-responsive element-binding protein 3-like protein 3,CREB3L3,Bos taurus (Bovine),Reviewed,endoplasmic reticulum unfolded protein response. positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress. regulation of transcription by RNA polymerase II,Activator. DNA-binding,Transcription. Transcription regulation. Unfolded protein response,na
2044,MAP2K2,P46196,MK01_BOVIN,Mitogen-activated protein kinase 1,MAPK1,Bos taurus (Bovine),Reviewed,apoptotic process. B cell receptor signaling pathway. Bergmann glial cell differentiation. cardiac neural crest cell development involved in heart development. cell cycle. cell surface receptor signaling pathway. cellular response to amino acid starvation. cellular response to cadmium ion. cellular response to DNA damage stimulus. cellular response to dopamine. cellular response to granulocyte macrophage colony-stimulating factor stimulus. cellular response to reactive oxygen species. cellular response to tumor necrosis factor. cytosine metabolic process. ERBB signaling pathway. ERK1 and ERK2 cascade. face development. intracellular signal transduction. labyrinthine layer blood vessel development. lipopolysaccharide-mediated signaling pathway. long-term synaptic potentiation. lung morphogenesis. mammary gland epithelial cell proliferation. negative regulation of cell differentiation. outer ear morphogenesis. peptidyl-serine phosphorylation. peptidyl-threonine phosphorylation. positive regulation of gene expression. positive regulation of macrophage chemotaxis. positive regulation of macrophage proliferation. positive regulation of peptidyl-threonine phosphorylation. positive regulation of telomerase activity. positive regulation of telomere capping. positive regulation of telomere maintenance via telomerase. protein phosphorylation. regulation of cellular pH. regulation of gene expression. regulation of ossification. regulation of protein stability. response to epidermal growth factor. response to exogenous dsRNA. response to nicotine. stress-activated MAPK cascade. T cell receptor signaling pathway. thymus development. thyroid gland development. trachea formation,Kinase. Serine/threonine-protein kinase. Transferase,Apoptosis. Cell cycle,ATP-binding. Nucleotide-binding
2045,ZBTB7A,E1BIJ8,E1BIJ8_BOVIN,Zinc finger and BTB domain containing 7A,ZBTB7A,Bos taurus (Bovine),Unreviewed,"B cell differentiation. chromatin remodeling. double-strand break repair via classical nonhomologous end joining. erythrocyte maturation. fat cell differentiation. negative regulation of androgen receptor signaling pathway. negative regulation of Notch signaling pathway. negative regulation of transforming growth factor beta receptor signaling pathway. positive regulation of NF-kappaB transcription factor activity. protein localization to nucleus. regulation of alternative mRNA splicing, via spliceosome. regulation of apoptotic process. regulation of glycolytic process. regulation of transcription by RNA polymerase II. regulation of transcription regulatory region DNA binding. transcription, DNA-templated",na,na,Metal-binding. Zinc
2046,PIAS4,P56722,PTPRN_BOVIN,Receptor-type tyrosine-protein phosphatase-like N,PTPRN,Bos taurus (Bovine),Reviewed,dense core granule maturation. insulin secretion involved in cellular response to glucose stimulus. luteinization. peptidyl-tyrosine dephosphorylation. positive regulation of transcription by RNA polymerase II. positive regulation of type B pancreatic cell proliferation. response to reactive oxygen species,Receptor,Transcription. Transcription regulation,na
2047,EEF2,Q3SYU2,EF2_BOVIN,Elongation factor 2,EEF2,Bos taurus (Bovine),Reviewed,translational elongation,Elongation factor,Protein biosynthesis,GTP-binding. Nucleotide-binding
2048,DAPK3,Q8MIT6,ROCK1_BOVIN,Rho-associated protein kinase 1,ROCK1,Bos taurus (Bovine),Reviewed,actin cytoskeleton organization. actomyosin structure organization. cortical actin cytoskeleton organization. embryonic morphogenesis. glomerular visceral epithelial cell migration. mitotic cytokinesis. myoblast migration. negative regulation of phosphorylation. peptidyl-threonine phosphorylation. polar body extrusion after meiotic divisions. positive regulation of cell maturation. positive regulation of focal adhesion assembly. protein phosphorylation. regulation of actin cytoskeleton organization. regulation of cell junction assembly. regulation of cell migration. regulation of microtubule cytoskeleton organization. Rho protein signal transduction,Kinase. Serine/threonine-protein kinase. Transferase,na,ATP-binding. Magnesium. Nucleotide-binding
2049,NMRK2,P53712,ITB1_BOVIN,Integrin beta-1,ITGB1,Bos taurus (Bovine),Reviewed,cell adhesion mediated by integrin. cell-matrix adhesion. cell migration. cellular response to low-density lipoprotein particle stimulus. integrin-mediated signaling pathway. positive regulation of cell migration. positive regulation of protein localization to plasma membrane. receptor internalization. regulation of collagen catabolic process,Host cell receptor for virus entry. Integrin. Receptor,Cell adhesion. Host-virus interaction,Magnesium. Metal-binding
2050,ATCAY,Q5BIN5,PIN1_BOVIN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,Bos taurus (Bovine),Reviewed,cell cycle. negative regulation of amyloid-beta formation. negative regulation of cell motility. negative regulation of ERK1 and ERK2 cascade. negative regulation of protein binding. negative regulation of protein catabolic process. negative regulation of transforming growth factor beta receptor signaling pathway. positive regulation of canonical Wnt signaling pathway. positive regulation of GTPase activity. positive regulation of protein binding. positive regulation of protein phosphorylation. positive regulation of transcription by RNA polymerase II. positive regulation of ubiquitin-protein transferase activity. protein peptidyl-prolyl isomerization. protein stabilization. regulation of cell population proliferation. regulation of cytokinesis. regulation of pathway-restricted SMAD protein phosphorylation. regulation of protein localization to nucleus. regulation of protein stability. response to hypoxia,Isomerase. Rotamase,Cell cycle,na
2051,ZFR2,A0A3Q1MC28,A0A3Q1MC28_BOVIN,Zinc finger RNA binding protein 2,ZFR2,Bos taurus (Bovine),Unreviewed,na,na,na,na
2052,MATK,P43481,KIT_BOVIN,Mast/stem cell growth factor receptor Kit,KIT,Bos taurus (Bovine),Reviewed,actin cytoskeleton reorganization. activation of MAPK activity. B cell differentiation. cell chemotaxis. cytokine-mediated signaling pathway. detection of mechanical stimulus involved in sensory perception of sound. digestive tract development. embryonic hemopoiesis. erythrocyte differentiation. erythropoietin-mediated signaling pathway. Fc receptor signaling pathway. hematopoietic progenitor cell differentiation. immature B cell differentiation. inflammatory response. Kit signaling pathway. lamellipodium assembly. mast cell degranulation. mast cell differentiation. megakaryocyte development. melanocyte adhesion. melanocyte differentiation. melanocyte migration. multicellular organism development. ovarian follicle development. peptidyl-tyrosine phosphorylation. pigmentation. positive regulation of cell migration. positive regulation of dendritic cell cytokine production. positive regulation of kinase activity. positive regulation of MAP kinase activity. positive regulation of mast cell cytokine production. positive regulation of receptor signaling pathway via JAK-STAT. regulation of cell shape. spermatogenesis. stem cell differentiation. T cell differentiation. transmembrane receptor protein tyrosine kinase signaling pathway,Kinase. Receptor. Transferase. Tyrosine-protein kinase,na,ATP-binding. Magnesium. Metal-binding. Nucleotide-binding
2053,RAX2,Q7YRX0,RAX2_BOVIN,Retina and anterior neural fold homeobox protein 2,RAX2,Bos taurus (Bovine),Reviewed,regulation of transcription by RNA polymerase II. response to stimulus. visual perception,DNA-binding,Sensory transduction. Transcription. Transcription regulation. Vision,na
2054,MRPL54,Q3MHJ5,RM54_BOVIN,"39S ribosomal protein L54, mitochondrial",MRPL54,Bos taurus (Bovine),Reviewed,na,Ribonucleoprotein. Ribosomal protein,na,na
2055,APBA3,Q3ZBV5,Q3ZBV5_BOVIN,"Amyloid beta (A4) protein-binding, family A, member 3",APBA3,Bos taurus (Bovine),Unreviewed,chemical synaptic transmission. in utero embryonic development. regulation of gene expression,na,na,na
2056,TJP3,Q765N9,CLD3_BOVIN,Claudin-3,CLDN3,Bos taurus (Bovine),Reviewed,actin cytoskeleton reorganization. bicellular tight junction assembly. calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules. cell adhesion. cell junction maintenance. epithelial cell morphogenesis. establishment of endothelial blood-brain barrier. negative regulation of cell migration. negative regulation of cell population proliferation. negative regulation of gene expression. negative regulation of wound healing. positive regulation of bicellular tight junction assembly. positive regulation of cell migration. positive regulation of gene expression. positive regulation of metallopeptidase activity. positive regulation of protein phosphorylation. positive regulation of wound healing. regulation of cell morphogenesis. regulation of membrane permeability. regulation of transepithelial transport. response to hypoxia,na,na,na
2057,PIP5K1C,P08487,PLCG1_BOVIN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",PLCG1,Bos taurus (Bovine),Reviewed,cellular response to epidermal growth factor stimulus. cellular response to vascular endothelial growth factor stimulus. epidermal growth factor receptor signaling pathway. intracellular signal transduction. in utero embryonic development. phosphatidylinositol metabolic process. phospholipid catabolic process. positive regulation of epithelial cell migration,Hydrolase. Transducer,Lipid degradation. Lipid metabolism,Calcium. Metal-binding
2058,CACTIN,F1MB35,F1MB35_BOVIN,Cactin,CACTIN,Bos taurus (Bovine),Unreviewed,"cellular response to interleukin-1. cellular response to lipopolysaccharide. cellular response to tumor necrosis factor. mRNA cis splicing, via spliceosome. negative regulation of I-kappaB kinase/NF-kappaB signaling. negative regulation of innate immune response. negative regulation of interferon-beta production. negative regulation of interleukin-8 production. negative regulation of lipopolysaccharide-mediated signaling pathway. negative regulation of NF-kappaB transcription factor activity. negative regulation of protein phosphorylation. negative regulation of toll-like receptor signaling pathway. negative regulation of tumor necrosis factor production. negative regulation of type I interferon-mediated signaling pathway. regulation of gene expression",na,na,na
2059,TBXA2R,Q95125,TA2R_BOVIN,Thromboxane A2 receptor,TBXA2R,Bos taurus (Bovine),Reviewed,adenylate cyclase-activating G protein-coupled receptor signaling pathway. inflammatory response. negative regulation of cell migration involved in sprouting angiogenesis. positive regulation of blood pressure. positive regulation of cytosolic calcium ion concentration. positive regulation of smooth muscle contraction. positive regulation of vasoconstriction. response to lipopolysaccharide,G-protein coupled receptor. Receptor. Transducer,na,na
2060,GIPC3,A0A3Q1ME45,A0A3Q1ME45_BOVIN,PDZ domain-containing protein,GIPC3,Bos taurus (Bovine),Unreviewed,na,na,na,na
2061,HMG20B,Q32L68,HM20B_BOVIN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related,HMG20B,Bos taurus (Bovine),Reviewed,cell cycle. chromatin organization. regulation of gene expression,Chromatin regulator. DNA-binding,Cell cycle. Transcription. Transcription regulation,na
2062,FZR1,Q2TA25,PLK1_BOVIN,Serine/threonine-protein kinase PLK1,PLK1,Bos taurus (Bovine),Reviewed,centrosome cycle. establishment of mitotic spindle orientation. establishment of protein localization. female meiosis chromosome segregation. G2/M transition of mitotic cell cycle. homologous chromosome segregation. microtubule bundle formation. mitotic cell cycle. mitotic cytokinesis. mitotic sister chromatid segregation. mitotic spindle assembly checkpoint. negative regulation of apoptotic process. negative regulation of cyclin-dependent protein serine/threonine kinase activity. negative regulation of transcription by RNA polymerase II. nuclear envelope disassembly. peptidyl-serine phosphorylation. positive regulation of peptidyl-threonine phosphorylation. positive regulation of proteasomal ubiquitin-dependent protein catabolic process. positive regulation of ubiquitin protein ligase activity. positive regulation of ubiquitin-protein transferase activity. protein destabilization. protein localization to chromatin. protein localization to nuclear envelope. protein phosphorylation. protein ubiquitination. regulation of cytokinesis. regulation of mitotic spindle assembly. regulation of protein binding. regulation of protein localization to cell cortex. signal transduction involved in G2 DNA damage checkpoint. synaptonemal complex disassembly,Kinase. Serine/threonine-protein kinase. Transferase,Cell cycle. Cell division. Mitosis,ATP-binding. Nucleotide-binding
2063,DOHH,Q0VC53,DOHH_BOVIN,Deoxyhypusine hydroxylase,DOHH,Bos taurus (Bovine),Reviewed,peptidyl-lysine modification to peptidyl-hypusine,Monooxygenase. Oxidoreductase,Hypusine biosynthesis,Iron. Metal-binding
2064,SMIM24,E1BI71,E1BI71_BOVIN,Small integral membrane protein 24,SMIM24,Bos taurus (Bovine),Unreviewed,na,na,na,na
2065,NFIC,P48734,CDK1_BOVIN,Cyclin-dependent kinase 1,CDK1,Bos taurus (Bovine),Reviewed,apoptotic process. cell division. cell population proliferation. G2/M transition of mitotic cell cycle. Golgi disassembly. mitotic G2 DNA damage checkpoint. negative regulation of apoptotic process. peptidyl-serine phosphorylation. peptidyl-threonine phosphorylation. protein phosphorylation. regulation of circadian rhythm. rhythmic process,Kinase. Serine/threonine-protein kinase. Transferase,Apoptosis. Biological rhythms. Cell cycle. Cell division. Mitosis,ATP-binding. Nucleotide-binding
2066,CELF5,A0A4W2G0D1,A0A4W2G0D1_BOBOX,Nicalin,NCLN,Bos indicus x Bos taurus (Hybrid cattle),Unreviewed,protein stabilization. regulation of protein complex stability. regulation of protein-containing complex assembly. regulation of signal transduction,na,na,na
2067,NCLN,Q3T0N3,TMCO1_BOVIN,Calcium load-activated calcium channel,TMCO1,Bos taurus (Bovine),Reviewed,calcium ion transmembrane transport. cellular calcium ion homeostasis. endoplasmic reticulum calcium ion homeostasis. ER overload response,Calcium channel. Ion channel,Calcium transport. Ion transport. Transport,Calcium
2068,S1PR4,F1ME98,F1ME98_BOVIN,Sphingosine-1-phosphate receptor 4,S1PR4,Bos taurus (Bovine),Unreviewed,adenylate cyclase-activating G protein-coupled receptor signaling pathway. regulation of metabolic process,G-protein coupled receptor. Receptor. Transducer,na,na
